Company Name,Company Information
Magic eCommerce Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560098
MangoMan Consumer Electronics Pvt Ltd,"Industry : Consumer Durables, Home Appliances, Information Technology (IT), E -CommerceSub Industry : Consumer GoodsCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102"
MatexNet Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560071
MD Retail India Pvt Ltd(Soch),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560005
Medlife International Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560029
Meesho,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560034
Mera Transport Exchange Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560043
MeraKisan Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560039
MIDP Hospitality Pvt Ltd (Bhukkad),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560034
Milaap Social Ventures Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560078
MintBook,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
MockBank Learning Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560034
Mohan Exim India Pvt Ltd (Eleczo),"Industry : Electrical , Electronics, E -CommerceSub Industry : Electrical , ElectronicsCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560018"
Momoe Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560034
Mothercare Sourcing India Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095
Mountain Trail Foods Pvt Ltd ( Chai Point ),"Industry : Food , FMCG , Agriculture, E -CommerceSub Industry : BeveragesCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560034"
Must See India,"Industry : Travel , Tourism, E -CommerceSub Industry : Tourism & Transport ServicesCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560076"
Myntra Designs Pvt Ltd ( Flipkart ),Industry : E -CommerceCompany Type  : India's 501-1000Level of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560068
Myra Medicines,"Industry : Retail, E -CommerceSub Industry : PharmacyCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560084"
Mysore Saree Udyog LLP,"Industry : Export , Import  Houses, Garment , Textile, E -CommerceSub Industry : Readymade Garments, Export HousesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560001"
Nestaway Technologies Pvt Ltd,"Industry : Construction, Infrastructure, E -CommerceSub Industry : Estate ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102"
Nikhil Analytics,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560037
Novetuz Marketing Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560078
Nreach Online Services Pvt Ltd (xoxoday.com),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
OCI Lifestyles Pvt Ltd (DuaVivo),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560048
Oliveboard.in,"Industry : Institutes - Educational , Training, E -CommerceSub Industry : Training InstitutesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560009"
On Going Property,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560093
Orane Healthcare India Pvt Ltd,"Industry : Hospitals , Healthcare, E -CommerceSub Industry : Healthcare ServicesCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102"
ORN TripFactory Pvt Ltd,"Industry : Travel , Tourism, E -CommerceSub Industry : Travel Agencies , Taxi ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560045"
Ovi Hosting Pvt Ltd ( Hosting Raja ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560016
Param People Infotech Solutions Pvt Ltd ( highwaydelite ),"Industry : Travel , Tourism, E -CommerceSub Industry : Immigration , Travel Consulting, Travel Agencies , Taxi Services, Associations, Tourism & Transport ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560076"
Payism Technologies India Pvt Ltd,"Industry : Information Technology (IT), E -CommerceSub Industry : IT Software , QA -TestingCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560071"
Pengala Learning Pvt Ltd (Vidyanext.com),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560094
Phasorz Technology Pvt Ltd (DocsApp),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560008
Picsquare.com,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560094
PlaySimple Games,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560071
Plyneer Industries,"Industry : Wood , Plastic  Furniture , Fixtures , Fittings, E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560026"
PointCross.com Pvt Ltd,"Industry : Information Technology (IT), E -CommerceSub Industry : IT Software , QA -TestingCompany Type  : MNCLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560045"
Practo Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560076
Promptec Renewable Energy Solutions Pvt Ltd ( Havells ),"Industry : Electrical , Electronics, E -CommerceSub Industry : Electrical , ElectronicsCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560073"
Propcare Technology Pvt Ltd (BuildTraders),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
Quicko Technosoft Labs Pvt Ltd (whatfix.com),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
Quiklo,"Industry : Telecommunication , Mobile, E -CommerceSub Industry : Telecom VASCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560034"
